Id,station,long,lat,building_height,sensor_height,land_cover,altitude,note
4066,Arconate SMR,8.84732669,45.54852147,0,1.5,prato,182,
12716,Bereguardo Fornasetta,9.02191087,45.26278148,0,1.5,prato,95,
2433,Bergamo v.Stezzano,9.65876841,45.66052069,0,1.5,prato,211,
8220,Busto Arsizio v.Rossini,8.82388414,45.62639047,0,3,prato,242,
2361,Castello d'Agogna ,8.7005692,45.246802,0,2,prato,106,
9027,Cavaria con Premezzo v. Cantalupa,8.80769042,45.68949423,0,1.5,strata/su fiume,274,
2327,Cavenago d'Adda,9.56265997,45.26927396,0,1.5,prato,67,
4058,Cinisello Balsamo Parco Nord,9.20560341,45.54266467,0,1.8,prato,142,
5903,Corsico v.le Italia,9.09741197,45.43611269,0,1.5,prato,119,
7029,Ferno v.Di Dio,8.75697656,45.61924753,0,1.5,prato/cemento,215,
5910,Lacchiarella v.Molise,9.1345295,45.32452314,3,2,prato,97,
2187,Landriano Cascina Marianna,9.26715311,45.32059361,0,1.5,prato,88,
9026,Lurago Marinone ,8.98833827,45.70496554,0,1.7,prato/cemento,296,
17488,Magenta cascina Mainaga,8.85440899,45.45806524,0,1.5,prato,137,
19426,Mariano Comense campo sportivo,9.1777692,45.6848834,0,2.3,prato,255,
2001,Milano Lambrate,9.2575154,45.49677982,0,1.5,prato/cemento,120,
5920,Milano P.zza Zavattari,9.14178666,45.47606529,20,2,tetto/cemento,122,
5897,Milano v.Brera,9.18911083,45.47165828,20,1.5,tetto/cemento,122,
8162,Milano v.Feltre,9.24873853,45.49163461,0,3,su ponte,127,
5909,Milano v.Juvara,9.22231536,45.47322769,28,0,tetto,122,
5911,Milano v.Marche,9.19093444,45.49631883,2,1,prato/cemento,129,
8212,Misinto ,9.0663868,45.6613833,0,3,prato,247,
2595,Montevecchia cascina Butto,9.38387447,45.70479978,0,1.5,prato,385,
12755,Monza v.Monte Generoso,9.24580749,45.58862553,0,1.5,prato,173,
5865,Osio Sotto v.per Levate,9.6117382,45.62055632,3,1.5,prato/cemento,182,
9021,Osnago ,9.38855423,45.67769711,0,1.5,prato,234,
12759,Pogliano Milanese,9.00519996,45.53557672,0,2,prato,160,
12757,Rescaldina,8.95289668,45.60784534,0,1.5,prato,215,
14742,Rho Scalo Fiorenza - Prato,9.0879233,45.51781084,0,1.5,prato,143,
2497,Rivolta d'Adda,9.52068901,45.44409052,0,1.5,prato,102,
5917,Rodano v.Turati,9.35349644,45.47258192,3,1.5,prato/cemento,112,
2122,Sant'Angelo Lodigiano,9.37965968,45.26066731,0,1.5,prato,60,
10551,Saronno v.Santuario,9.02640138,45.62735705,0,1.5,prato/cemento,212,
8196,Vigevano SS494,8.87967586,45.34142636,0,2,strata/su fiume,94,
