station,località,lat,long,alt slm,Instrument height,Surface,,,,,,
abbiategrasso,Abbiategrasso sud,45.381389,8.911667,110,2.5,suolo - terreno erboso,,,,,,
albairate,Albairate,45.4125,8.945556,124,8,suolo - terreno erboso,,,,,asfalto,asphalt
bollate,Bollate,45.548056,9.120833,156,3,suolo - terreno erboso,,,,,cemento,concrete
brignano,Brignano Gera d'Adda,45.54,9.645,126,2,suolo - terreno erboso,,,,,nudo terreno,bare soil
brugherio,Brugherio,45.548889,9.294722,145,2.5,suolo - terreno erboso,,,,,terreno erboso,grass
buccinasco_robbiolo,Buccinasco Cascina Robbiolo,45.417222,9.125833,110,2,suolo - terreno erboso,,,,,guaina catramata,blackened roof (tar)
busnago,Busnago,45.608333,9.458056,204,2.5,suolo - terreno erboso,,,,,lamiera,metal sheet
busto_arsizio,Busto Arsizio,45.610278,8.865278,226,20,tetto - guaina catramata,,,,,laterizio,brick
cadilana,Cadilana di Corte Palasio,45.333333,9.55,69,2,suolo - terreno erboso,,,,,legno,wood
caleppio,Caleppio di Settala,45.436111,9.385,101,3.5,suolo - terreno erboso,,,,,,
canegrate,Canegrate,45.575,8.921389,197,3,suolo - terreno erboso,,,,,,
capergnanica,Capergnanica,45.339167,9.648333,78,2,suolo - terreno erboso,,,,,,
carimate,Carimate Depuratore,45.689167,9.121389,232,8,tetto - cemento,,,,,,
casarile,Casarile,45.318333,9.1025,101,3,suolo - terreno erboso,,,,,,
casorateprimo,Casorate Primo,45.294722,9.003056,99,2,suolo - terreno erboso,,,,,,
cassano_adda,Cassano d'Adda,45.513889,9.509722,127,3,suolo - nudo terreno,,,,,,
castano,Castano Primo,45.558056,8.785278,189,6,suolo - terreno erboso,,,,,,
ceriano_laghetto,Ceriano Laghetto,45.632222,9.089722,228,2,suolo - terreno erboso,,,,,,
cesano_maderno,Cesano Maderno,45.628333,9.146389,204,10,tetto - cemento,,,,,,
cesate,Cesate,45.598056,9.068056,200,2.5,suolo - terreno erboso,,,,,,
cinisello_bm,Cinisello Balsamo,45.564167,9.22,159,2.5,suolo - asfalto,,,,,,
