station,avg_temp,lat,long,source
Arconate SMR,30.2,45.54852147,8.84732669,arpa
Bereguardo Fornasetta,29.0,45.26278148,9.02191087,arpa
Bergamo v.Stezzano,28.8,45.66052069,9.65876841,arpa
Busto Arsizio v.Rossini,28.2,45.62639047,8.82388414,arpa
Castello d'Agogna ,29.8,45.246802,8.7005692,arpa
Cavaria con Premezzo v. Cantalupa,28.3,45.68949423,8.80769042,arpa
Cavenago d'Adda,30.2,45.26927396,9.56265997,arpa
Cinisello Balsamo Parco Nord,29.8,45.54266467,9.20560341,arpa
Corsico v.le Italia,28.8,45.43611269,9.09741197,arpa
Ferno v.Di Dio,27.9,45.61924753,8.75697656,arpa
Landriano Cascina Marianna,32.0,45.32059361,9.26715311,arpa
Lurago Marinone ,26.8,45.70496554,8.98833827,arpa
Magenta cascina Mainaga,28.2,45.45806524,8.85440899,arpa
Mariano Comense campo sportivo,27.0,45.6848834,9.1777692,arpa
Milano Lambrate,29.8,45.49677982,9.2575154,arpa
Milano P.zza Zavattari,30.0,45.47606529,9.14178666,arpa
Milano v.Brera,29.2,45.47165828,9.18911083,arpa
Milano v.Feltre,29.1,45.49163461,9.24873853,arpa
Milano v.Juvara,28.8,45.47322769,9.22231536,arpa
Milano v.Marche,28.6,45.49631883,9.19093444,arpa
Misinto ,28.1,45.6613833,9.0663868,arpa
Montevecchia cascina Butto,25.9,45.70479978,9.38387447,arpa
Monza v.Monte Generoso,28.4,45.58862553,9.24580749,arpa
Osio Sotto v.per Levate,27.3,45.62055632,9.6117382,arpa
Osnago ,28.4,45.67769711,9.38855423,arpa
Pogliano Milanese,27.5,45.53557672,9.00519996,arpa
Rescaldina,27.6,45.60784534,8.95289668,arpa
Rho Scalo Fiorenza - Prato,28.5,45.51781084,9.0879233,arpa
Rivolta d'Adda,31.0,45.44409052,9.52068901,arpa
Rodano v.Turati,29.4,45.47258192,9.35349644,arpa
Sant'Angelo Lodigiano,29.9,45.26066731,9.37965968,arpa
Saronno v.Santuario,28.4,45.62735705,9.02640138,arpa
Vigevano SS494,29.0,45.34142636,8.87967586,arpa
abbiategrasso,29.1,45.381389,8.911667,cml
bollate,28.6,45.548056,9.120833,cml
brignano,29.1,45.54,9.645,cml
caleppio,29.4,45.436111,9.385,cml
canegrate,28.2,45.575,8.921389,cml
capergnanica,29.8,45.339167,9.648333,cml
carimate,27.0,45.689167,9.121389,cml
casorateprimo,29.0,45.294722,9.003056,cml
cassano_adda,28.7,45.513889,9.509722,cml
castano,27.7,45.558056,8.785278,cml
ceriano_laghetto,27.1,45.632222,9.089722,cml
cesate,27.6,45.598056,9.068056,cml
cirimido,26.6,45.685278,9.011111,cml
cisliano,29.1,45.460833,8.974444,cml
corbetta,29.1,45.473333,8.921667,cml
credera,29.7,45.305556,9.639167,cml
cremosano,29.2,45.393889,9.642222,cml
filago,27.6,45.642778,9.543333,cml
gaggiano,29.2,45.403056,9.028333,cml
geromina,29.0,45.538889,9.576667,cml
gualdrasco,29.3,45.278333,9.201389,cml
inveruno,28.4,45.513889,8.840833,cml
lodi,29.2,45.298889,9.52,cml
magherno,29.0,45.224167,9.332222,cml
marcallo,28.3,45.495556,8.8825,cml
mariano,26.6,45.686389,9.166111,cml
mediglia,28.8,45.425556,9.365556,cml
melegnano,28.8,45.366944,9.33,cml
mi_arbe,28.3,45.501667,9.2,cml
mi_boscoincitta,28.2,45.485278,9.091111,cml
mi_genova,28.3,45.451667,9.170556,cml
mi_parconord,28.4,45.538333,9.209722,cml
mi_sanleonardo,27.4,45.498611,9.106111,cml
mi_sansiro,27.8,45.470556,9.115833,cml
monza,28.8,45.5825,9.291944,cml
mortara_vvf,28.6,45.244444,8.712222,cml
nizzolina,27.2,45.623889,8.911111,cml
nosate,28.5,45.547778,8.721667,cml
novamilanese,28.2,45.588056,9.1875,cml
osnago,26.7,45.678333,9.400833,cml
passarera,30.1,45.324167,9.647222,cml
presezzo,27.9,45.697778,9.556944,cml
rescaldina,27.0,45.617222,8.954722,cml
rho,28.8,45.534167,9.056389,cml
robecco,28.9,45.432222,8.885833,cml
rovagnasco,28.1,45.500556,9.276944,cml
samarate,26.9,45.606667,8.784167,cml
sanangelo_lodigiano,29.6,45.233889,9.397778,cml
seregno,26.9,45.6625,9.206667,cml
settimo_mil,28.7,45.482222,9.049167,cml
trescore_cremasco,29.3,45.408333,9.613889,cml
tromello,29.0,45.211944,8.865833,cml
uboldo,26.6,45.613056,8.996667,cml
vidigulfo,29.0,45.299167,9.225833,cml
vigevano,29.6,45.294722,8.854444,cml
villasanta,27.7,45.616944,9.301111,cml
vimodrone,28.7,45.516111,9.286667,cml
vizzola,27.7,45.6525,8.684167,cml
zerbolo,28.2,45.227222,8.985,cml
