month,hour,MAE_test,RMSE_test,R2_test,MAE_train,RMSE_train,R2_train,LCZ,NDVI,IMD,SWIR1,SWIR2,SVF,DTM,CH
Feb,HP,0.539,0.61,0.227,0.346,0.446,0.767,0.09448863358741878,0.10298757197479874,0.1343984123013896,0.12132961909881017,0.13264712030850556,0.19215149785124327,0.13131127527859154,0.09068586959924234
Feb,WP,0.485,0.62,0.099,0.304,0.429,0.648,0.05000516652443694,0.09173643167930992,0.10987626487021528,0.14741723775572296,0.10695029223808977,0.13473960475850885,0.26585938248218577,0.09341561969153055
Feb,CP1,0.333,0.412,0.622,0.167,0.232,0.891,0.0066738058585233675,0.02640713713378957,0.014106004206755538,0.07282979652580451,0.05610817851685032,0.03564935787301055,0.7246064844702,0.06361923541506616
Feb,CP2,1.05,1.459,0.332,0.345,0.423,0.936,0.11131002701572397,0.05228214155092983,0.04854591726442984,0.10063787569228498,0.06566816883340977,0.230882921687488,0.3422537907675344,0.04841915718819924
Feb,MUHI,0.9,1.242,0.226,0.312,0.379,0.925,0.11734839894880826,0.06288427071739726,0.051722096423328125,0.0711186461581315,0.09730257076016188,0.24021311868207762,0.29124389583485977,0.06816700247523556
May,HP,0.527,0.734,-0.45,0.275,0.319,0.86,0.023053472277472776,0.05156879153886282,0.02956129699936909,0.14628245914636767,0.12646893883264904,0.08478910473846052,0.4736933144945513,0.06458262197226668
May,WP,0.643,0.823,0.281,0.255,0.328,0.907,0.02307681479056712,0.019764234254383006,0.035378953185001616,0.11211976882254464,0.1371383667207853,0.029001942044154305,0.6149598260228115,0.028560094159752487
May,CP1,0.693,0.898,0.173,0.279,0.359,0.892,0.03487366580529347,0.036886848608101756,0.05410953888776355,0.03161567641760824,0.07599242501270884,0.14130437881537702,0.5436923986610905,0.08152506779205676
May,CP2,0.85,1.134,0.358,0.388,0.463,0.896,0.023950054239302007,0.10390844455781025,0.04796167671948652,0.04333664446759495,0.06141850416236875,0.1831427825626398,0.4448039292728466,0.09147796401795118
May,MUHI,0.731,1.043,0.398,0.363,0.461,0.881,0.08450206046992002,0.07969862261435401,0.07727099924096388,0.02716907530079462,0.06402334683778467,0.24004348545621393,0.3361381951761273,0.09115421490384151
June,HP,0.444,0.631,0.028,0.33,0.419,0.791,0.021379073419429528,0.0692235505988325,0.05099249584388676,0.06722319683500268,0.10902782951944803,0.08818667770835709,0.4698716029655555,0.12409557310948777
June,WP,0.53,0.674,0.179,0.244,0.357,0.847,0.062450239221883225,0.1263353927751778,0.11435861895369234,0.11790198686364105,0.1363454642238577,0.11212092503583655,0.214558138109137,0.11592923481677425
June,CP1,0.629,0.799,0.262,0.243,0.306,0.91,0.054834246439530616,0.05214953349729105,0.0891492781786642,0.08579535098489936,0.04441327985914304,0.13131011668429826,0.4662290204901501,0.07611917386602339
June,CP2,0.956,1.223,0.368,0.345,0.423,0.9,0.03532806898641361,0.041965636090846366,0.1389344815400261,0.03268163023389245,0.03880209429619805,0.3532722466184133,0.29798518833783394,0.06103065389637616
June,MUHI,0.944,1.215,0.408,0.299,0.356,0.941,0.14591716420613218,0.03877202338068109,0.10099699324916735,0.05558933148297265,0.02425339616752123,0.289578390025486,0.24682957024008914,0.09806313124795031
July,HP,0.426,0.577,0.11,0.356,0.453,0.789,0.04108972003091145,0.13220769358493614,0.05979695517439637,0.07059799039012611,0.07722993915061899,0.14524525654285605,0.3877095706050722,0.08612287452108265
July,WP,0.636,0.786,-0.026,0.435,0.605,0.591,0.05555935274062488,0.1147431349956835,0.1533004457563203,0.0945839589231241,0.10660354881412794,0.1257748534856738,0.22786753201675894,0.12156717326768654
July,CP1,0.684,0.847,0.193,0.245,0.336,0.877,0.033282128954285846,0.060660982022029665,0.055438217588312105,0.10744230267104309,0.07809979328603092,0.27939268782388327,0.31458893493876955,0.07109495271564562
July,CP2,1.008,1.382,0.128,0.387,0.498,0.858,0.06820238341423572,0.0535423118603979,0.12123287417397005,0.10473865092406062,0.0812723469034277,0.3422291815517427,0.17584880653611082,0.052933444636054545
July,MUHI,0.973,1.275,0.295,0.385,0.518,0.864,0.11410250920251959,0.049076355721720206,0.0949425549852961,0.09892059479900935,0.08315450528288906,0.39329487884699094,0.10844955772850255,0.058059043433072235
Oct,HP,0.508,0.634,-0.064,0.411,0.604,0.622,0.07062124799022741,0.07369212423038428,0.14577673607671568,0.166119029751207,0.10881699810382672,0.22163659934660093,0.09005043120193865,0.12328683329909945
Oct,WP,0.384,0.509,0.61,0.308,0.424,0.858,0.007985331230258741,0.07942721888004328,0.03649400156910317,0.05952309443860354,0.04615636872360829,0.0909955025398983,0.6219352871477667,0.05748319547071797
Oct,CP1,0.515,0.682,0.57,0.284,0.384,0.912,0.010934086434154675,0.11163020757652435,0.023610931041082275,0.037515907031840545,0.056613698828258875,0.0652480063753163,0.6431252333669272,0.051321929345895675
Oct,CP2,0.737,0.981,0.475,0.374,0.482,0.879,0.08783206198164638,0.08701956735745801,0.04199638122138218,0.05165696484720581,0.06951211560975158,0.3604062486804903,0.25067148669078076,0.05090517361128501
Oct,MUHI,0.691,0.854,0.347,0.266,0.336,0.911,0.10538675258501552,0.11361171439892223,0.08289456597593833,0.14139786252822348,0.09897132533398102,0.21669898128427043,0.1484384419396619,0.09260035595398701
